trades,win_dev,win_hold,net_dev,net_hold,acct_win_dev,acct_win_hold,sh_dev,sh_hold,total,name
2329,0.6221928665785997,0.5803680981595092,0.5913220478943226,0.15600450595942975,0.627471383975026,0.6071428571428571,2.6540448399536545,1.9361190987401307,269.14384624381563,served now
2373,0.6504539559014267,0.6077015643802648,0.5293825307035032,0.12542663885750555,0.655688622754491,0.6382978723404256,2.486882776933868,1.794237267218569,235.52262645658274,target at 80% of the way
2398,0.6632456703014753,0.6209773539928486,0.47101026010727176,0.07332768982683116,0.6682832201745877,0.6506276150627615,2.1452191922958534,1.6351896505712997,202.60690412946096,target at 70% of the way
2425,0.6770304568527918,0.6431095406360424,0.4177511622010071,0.09092799100052143,0.6783681214421252,0.6707818930041153,1.904598780989432,1.8340876750257495,188.1254540329246,target at 60% of the way
2439,0.6937618147448015,0.6502347417840375,0.3691213795490662,0.0015888297514402286,0.6930232558139535,0.6861167002012073,1.6763265554493487,1.7189903499030685,163.8949067880256,target at 50% of the way
2738,0.6589147286821705,0.6137339055793991,0.4732614328722403,0.02673373947227608,0.6475195822454308,0.6391554702495201,1.9063040943449836,0.995697869537196,177.95555064941826,limit 0.25 ATR from the close
3196,0.6885401806942463,0.6660567246111619,0.20704686607080847,-0.04328489024549077,0.674436090225564,0.6826625386996904,0.48413153296289124,0.2790574542704612,45.745049784512176,limit 0.0 ATR from the close
2311,0.6589095744680851,0.6158612143742255,0.6178239179426588,0.08122745032076611,0.658695652173913,0.6378504672897196,2.6460173904953446,1.4934048510083227,266.24215732173076,stop +0.5 ATR more room
2301,0.6826987307949232,0.6330845771144279,0.6437184843958447,0.050994196101110854,0.6829268292682927,0.645933014354067,2.7329037151874025,1.1663273419570703,266.7959154450196,stop +1.0 ATR more room
1736,0.645704162976085,0.5930807248764415,0.7092940749135156,0.2286243570895182,0.6386010362694301,0.6243243243243243,2.3870253533760017,1.9748222649932614,221.40415523306112,rank cut 0.98
1014,0.6510574018126888,0.6306818181818182,0.7965959016868857,0.4789109396037374,0.6316831683168317,0.632,1.7687906991777584,1.7751052702905472,146.24950032506047,rank cut 0.99
2373,0.6504539559014267,0.6077015643802648,0.5293825307035032,0.12542663885750555,0.655688622754491,0.6382978723404256,2.486882776933868,1.794237267218569,235.52262645658274,"target 80%, stop +0.0, limit 0.5"
2836,0.6948608137044968,0.6415289256198347,0.3950806588090426,-0.04117079708881769,0.6823045267489712,0.6660617059891107,1.4865222608407804,0.4339413529408086,120.21471300307124,"target 80%, stop +0.0, limit 0.25"
2357,0.6879895561357703,0.6424242424242425,0.5642890984687645,0.047893751745828876,0.6856846473029046,0.6674008810572687,2.491250556115571,1.2777318976188718,234.69164886304628,"target 80%, stop +0.5, limit 0.5"
2794,0.7381600435492651,0.6886102403343782,0.4788568125171897,-0.049202614727358665,0.7333908541846419,0.7126654064272212,2.2642753302740437,0.5843463458064794,188.62017266713386,"target 80%, stop +0.5, limit 0.25"
2398,0.6632456703014753,0.6209773539928486,0.47101026010727176,0.07332768982683116,0.6682832201745877,0.6506276150627615,2.1452191922958534,1.6351896505712997,202.60690412946096,"target 70%, stop +0.0, limit 0.5"
2894,0.7143605870020965,0.6612576064908722,0.3577884883433457,-0.06573576335147283,0.7041139240506329,0.6968641114982579,1.5080369983182362,0.6869735754685604,122.13741260389386,"target 70%, stop +0.0, limit 0.25"
2382,0.7004519044544868,0.6566626650660264,0.492041636635876,-0.005639090409669858,0.697979797979798,0.6810344827586207,2.1227953234762595,1.047824638524316,196.46087129632807,"target 70%, stop +0.5, limit 0.5"
2853,0.7566560170394037,0.7046153846153846,0.42546055637197977,-0.09187326183572296,0.7504145936981758,0.7355072463768116,1.9567121358033983,0.5065278587032985,154.85987300647673,"target 70%, stop +0.5, limit 0.25"
2425,0.6770304568527918,0.6431095406360424,0.4177511622010071,0.09092799100052143,0.6783681214421252,0.6707818930041153,1.904598780989432,1.8340876750257495,188.1254540329246,"target 60%, stop +0.0, limit 0.5"
2945,0.7301750772399588,0.674975074775673,0.2965662229614867,-0.10730411243413156,0.7229470452801228,0.7091836734693877,1.4374697810709032,0.47747980326965267,107.76110492934102,"target 60%, stop +0.0, limit 0.25"
2409,0.7126436781609196,0.6797153024911032,0.4282004566254382,0.022719870763906348,0.7091988130563798,0.6985138004246284,1.9693334042668431,1.2534485958552393,186.20470176655127,"target 60%, stop +0.5, limit 0.5"
2907,0.7697127937336815,0.7237903225806451,0.3489129594076332,-0.10900895931575362,0.7652243589743589,0.7437722419928826,1.773836418068623,0.2538867415175739,131.0522501897877,"target 60%, stop +0.5, limit 0.25"
